# {"t_start": 1557579177.683356, "env_id": "HumanoidStandup-v2"} 
r,l,t
40484.3471,1000,7.368425
48168.164681,1000,11.368082
69580.054915,1000,16.542445
63754.556089,1000,20.626854
53841.074624,1000,25.594471
53362.299666,1000,29.145174
43516.685349,1000,34.913372
42295.740338,1000,38.330904
51153.018494,1000,42.850632
46405.907744,1000,46.751977
59341.282757,1000,51.164922
55616.031262,1000,54.370617
52002.970127,1000,59.182297
50887.677671,1000,62.645101
68610.940852,1000,66.803372
68167.841747,1000,69.946383
49925.427741,1000,74.359772
61664.784324,1000,77.61257
43053.299013,1000,82.154927
67698.33256,1000,85.234265
46895.406493,1000,89.531679
57026.059227,1000,92.623759
60149.598046,1000,97.006686
47874.294038,1000,100.106255
49396.789844,1000,104.831839
45280.846416,1000,108.078892
55078.250949,1000,112.472523
60436.200882,1000,115.563935
46059.234103,1000,119.955218
70644.024445,1000,123.271061
51214.947567,1000,127.459267
59864.63457,1000,130.557434
55101.64436,1000,134.938238
72142.942814,1000,138.062024
49187.857113,1000,143.241366
68740.963328,1000,147.163203
46383.430914,1000,152.568163
44433.743348,1000,156.931449
68230.419399,1000,161.997844
84810.034292,1000,165.138571
77734.828079,1000,169.766628
76736.829401,1000,173.032324
84225.432624,1000,176.147725
41994.77335,1000,181.319314
46531.466086,1000,184.667506
63428.361028,1000,188.979461
46496.529444,1000,192.20213
43326.447868,1000,196.557431
52935.071719,1000,199.718455
53902.40648,1000,204.393391
40438.391603,1000,207.813346
68631.09765,1000,212.305971
46439.768985,1000,215.424104
43328.249379,1000,219.933806
48634.097505,1000,223.089207
52278.299227,1000,227.45031
50184.195784,1000,230.918621
45861.281966,1000,235.176827
54188.500056,1000,238.338257
54820.5309,1000,242.824626
47248.053062,1000,246.119777
70849.397815,1000,250.312136
43760.99919,1000,253.559015
55254.201655,1000,257.860347
46129.104997,1000,261.169032
49733.679602,1000,265.65185
65401.428466,1000,268.819225
67252.632012,1000,273.090943
53158.371318,1000,276.151685
47433.365036,1000,280.592926
51325.128161,1000,283.688151
65876.051626,1000,288.110918
56012.988391,1000,291.476786
62720.48686,1000,295.735816
67630.606604,1000,299.379746
56929.050508,1000,303.708634
71408.993004,1000,306.906847
72216.492316,1000,311.203191
76542.356224,1000,314.325821
52188.588509,1000,318.833736
65909.802669,1000,322.143169
50371.558681,1000,326.403943
50130.248848,1000,329.467587
45840.712721,1000,333.729739
45988.752287,1000,336.885783
64781.195829,1000,340.060535
58442.995842,1000,344.333194
60735.355223,1000,347.448895
63445.578743,1000,351.964441
57637.643389,1000,355.119565
68372.706621,1000,359.374335
68104.150599,1000,362.540647
67951.313253,1000,366.905584
67818.802954,1000,370.137173
62487.864629,1000,374.306598
51942.459285,1000,377.454364
58340.117391,1000,382.029653
49838.157246,1000,385.153314
48358.527045,1000,389.302925
55224.456346,1000,392.354953
83913.701553,1000,396.790123
42268.316024,1000,399.889764
52108.745446,1000,404.15527
60600.490908,1000,407.398233
60284.802221,1000,411.991105
66141.716977,1000,415.218589
62072.327661,1000,419.476152
53246.714207,1000,422.701582
57077.806575,1000,426.923644
54458.04416,1000,430.146521
51340.797064,1000,434.372208
51333.47385,1000,437.596613
54604.141227,1000,442.157165
64083.823381,1000,445.384428
58974.614103,1000,449.713654
57653.635385,1000,452.921793
46910.534415,1000,457.305838
49439.133052,1000,460.498836
68080.556788,1000,465.021116
61718.893731,1000,468.184403
61750.479584,1000,472.653203
56544.309657,1000,475.84585
49026.437878,1000,480.734051
70083.624014,1000,484.032073
47253.662183,1000,488.412028
60867.751924,1000,491.587965
47386.39723,1000,496.091709
68486.077318,1000,499.375602
66070.139412,1000,502.719873
61723.921304,1000,507.11176
45699.320512,1000,510.334665
69881.087159,1000,514.793462
44825.356785,1000,517.925364
57780.752321,1000,522.44624
60732.908415,1000,525.626451
54712.089224,1000,530.094368
63008.543966,1000,533.610121
50565.594094,1000,537.896139
63270.416786,1000,541.089494
44947.066557,1000,545.93104
58606.42293,1000,549.429254
79705.732006,1000,553.627151
44621.096131,1000,557.118789
67373.521469,1000,561.691404
74244.498688,1000,564.841825
87372.105462,1000,569.147486
63017.822805,1000,572.302698
46207.882654,1000,576.693149
48918.585409,1000,579.755786
55293.709335,1000,584.578943
48176.093909,1000,587.842237
59387.193974,1000,592.60596
60458.957469,1000,595.859069
68069.217369,1000,600.388866
58988.450089,1000,603.536875
49876.193447,1000,607.997782
48973.783456,1000,611.434923
44395.876821,1000,616.472586
65568.264492,1000,619.733002
47355.46431,1000,624.520608
63392.802644,1000,627.65054
65965.713746,1000,632.170157
55643.58371,1000,635.359197
42024.057487,1000,640.037539
53039.876546,1000,643.18838
47598.475231,1000,647.44902
61508.505548,1000,650.87657
56622.229586,1000,655.422889
50558.015001,1000,659.352919
70717.167455,1000,663.944321
54843.094998,1000,667.141525
64999.45896,1000,670.276175
52955.043472,1000,674.813156
59648.042608,1000,678.193542
54798.680164,1000,682.8628
48600.916355,1000,686.056215
67645.283989,1000,690.558576
52625.212371,1000,693.731543
57551.662954,1000,697.973834
57890.157169,1000,701.172177
63388.520988,1000,705.675208
45135.29128,1000,709.241253
50099.483642,1000,714.118043
44259.563337,1000,717.526514
68208.681401,1000,721.545699
68779.685545,1000,724.828745
53454.146045,1000,729.327116
40983.837091,1000,732.464274
60147.730269,1000,737.295957
62194.721797,1000,740.85038
61661.006778,1000,745.109105
51640.606833,1000,748.32854
47112.608361,1000,753.155359
49139.695171,1000,756.327358
57261.089792,1000,760.936379
57109.096804,1000,764.732855
53432.270834,1000,768.983334
51640.995898,1000,772.479638
43392.837972,1000,777.57509
45841.251997,1000,780.816702
44566.929088,1000,785.560674
44749.897997,1000,789.09499
45620.153929,1000,793.80899
43627.547498,1000,797.095198
44260.056563,1000,802.10222
42442.528345,1000,806.044911
44858.918534,1000,810.428051
70535.139902,1000,813.68647
46512.414956,1000,818.594565
44109.355425,1000,821.680759
42297.916106,1000,826.587267
44146.578548,1000,829.73959
63544.093701,1000,834.259926
51426.386817,1000,837.394934
44929.608579,1000,840.470194
50559.911076,1000,845.516824
45789.033991,1000,848.71691
46270.671644,1000,852.903108
49212.136267,1000,856.092824
45148.184238,1000,860.451434
58420.028394,1000,863.768566
55627.080836,1000,868.404887
52191.728427,1000,871.606272
40327.6431,1000,876.058408
78350.17957,1000,879.459378
73848.928771,1000,884.193888
63087.112763,1000,887.334252
43717.243443,1000,892.307674
55042.799284,1000,895.707644
52800.216848,1000,899.972982
42705.102056,1000,903.143177
58147.7867,1000,907.617856
57619.026389,1000,910.719757
43138.820029,1000,914.831937
57447.24647,1000,917.926659
53550.837735,1000,922.660532
58517.463276,1000,925.749341
54604.89866,1000,930.507614
59889.549595,1000,934.067195
56609.557161,1000,938.009482
61152.2265,1000,941.107729
51199.904713,1000,945.564985
55887.09733,1000,948.699112
63710.855333,1000,953.215933
43430.027905,1000,956.394151
49880.097352,1000,960.570677
65683.706836,1000,963.784006
53375.202659,1000,968.115016
64330.497801,1000,971.292691
58379.804388,1000,975.567204
53343.057377,1000,978.689318
60283.891502,1000,983.358545
54557.603269,1000,986.47165
51583.209566,1000,990.975174
52951.048552,1000,994.122993
51338.574003,1000,997.227664
50944.754227,1000,1001.608847
55291.410133,1000,1004.776222
48300.404338,1000,1008.979395
69491.608114,1000,1012.46425
55880.60144,1000,1017.198264
58105.175608,1000,1020.30511
61659.92123,1000,1024.530797
52337.459017,1000,1027.599668
55619.222578,1000,1031.786571
51419.194712,1000,1035.033223
56578.32423,1000,1039.392841
43870.859768,1000,1042.698739
38637.70314,1000,1047.002771
54200.371188,1000,1050.144487
64242.175656,1000,1054.803918
49734.021305,1000,1057.924297
46837.665266,1000,1062.340383
49590.837758,1000,1065.438954
51915.805183,1000,1069.701144
47432.238255,1000,1073.163291
49696.875012,1000,1078.63449
50574.076166,1000,1081.819579
43429.684016,1000,1086.560174
45596.353413,1000,1089.897227
60291.776185,1000,1094.279956
48447.56044,1000,1097.93946
43571.916775,1000,1102.206879
50044.575554,1000,1105.290654
43789.409094,1000,1109.739132
57147.463138,1000,1112.876499
43322.782474,1000,1117.154289
53754.29621,1000,1120.245977
50434.848111,1000,1125.128541
55277.238587,1000,1128.303064
48414.962635,1000,1132.657803
51410.13151,1000,1135.806648
47704.77193,1000,1140.079984
41293.269559,1000,1143.170443
50994.081931,1000,1147.523309
57599.796551,1000,1150.853756
72613.672994,1000,1155.264181
57488.048613,1000,1158.352991
43717.410835,1000,1161.621038
61561.386709,1000,1166.054291
60330.656734,1000,1169.135079
47516.434016,1000,1173.274252
54739.139565,1000,1176.426957
46615.322062,1000,1180.725671
48864.277859,1000,1183.793404
50004.610232,1000,1188.131176
55883.937042,1000,1191.509199
49256.925903,1000,1195.664257
49930.421856,1000,1198.808542
44862.658667,1000,1203.100651
44399.003013,1000,1206.210131
48222.28448,1000,1210.50971
51919.036322,1000,1213.608448
58553.282907,1000,1217.935367
49320.639023,1000,1221.187293
46713.26112,1000,1225.507976
46782.245937,1000,1228.610008
59876.268448,1000,1232.897251
50042.138215,1000,1236.003774
55303.824185,1000,1240.276088
41502.351792,1000,1243.445683
47476.015126,1000,1247.765953
53748.925946,1000,1251.088965
56877.126948,1000,1255.460826
48877.891885,1000,1258.530357
62739.930483,1000,1263.018918
52634.444833,1000,1266.172887
59811.980494,1000,1270.546241
47301.776831,1000,1273.725661
54328.061854,1000,1278.057868
55620.138053,1000,1281.562151
57941.461628,1000,1285.866454
42610.861987,1000,1289.179222
53103.901115,1000,1293.282538
