# {"t_start": 1557087785.134652, "env_id": "HumanoidStandup-v2"} 
r,l,t
41368.032131,1000,9.017318
40497.111767,1000,14.311659
38546.83378,1000,22.26813
40974.679125,1000,28.407756
38881.303391,1000,35.72755
39164.778776,1000,41.05742
36723.908572,1000,49.679002
41068.844634,1000,54.744438
41942.783673,1000,64.021697
39785.493987,1000,69.071162
38972.943111,1000,77.009821
44101.834747,1000,81.976101
45314.30114,1000,90.874487
38622.866905,1000,96.554807
45270.707979,1000,103.696238
38669.005422,1000,109.055869
43782.265751,1000,117.696773
38441.008905,1000,123.275155
51688.227048,1000,131.776041
46746.496551,1000,138.039416
40230.116319,1000,146.170473
41314.012056,1000,151.865924
40907.625459,1000,160.339064
36875.982688,1000,165.28492
43678.677516,1000,174.397793
43388.444007,1000,178.850191
46753.008329,1000,187.738591
42479.442395,1000,193.238722
43925.105407,1000,200.930258
50232.76582,1000,205.442225
42483.105315,1000,214.33063
51793.431264,1000,220.368786
48607.047759,1000,228.315459
44942.750918,1000,233.32923
49558.613745,1000,242.154523
48467.3438,1000,247.943426
46439.932047,1000,255.520452
46446.406959,1000,261.612864
49825.584165,1000,269.429408
51100.333406,1000,275.095514
50455.268183,1000,283.30626
46934.847869,1000,288.419296
49851.81167,1000,294.074535
57020.492098,1000,302.050769
48413.576353,1000,307.677248
52066.602717,1000,315.350763
47982.997157,1000,320.545552
49916.995008,1000,329.128828
52391.728098,1000,334.95984
69885.054043,1000,342.359777
51415.499786,1000,348.052913
53749.623171,1000,357.029044
61384.126111,1000,362.969606
54035.236029,1000,370.584899
58646.060589,1000,375.810267
57865.540683,1000,383.778933
66152.455976,1000,389.214494
64324.046524,1000,398.152378
59418.445419,1000,403.605091
57955.394627,1000,411.949754
55890.622069,1000,417.32278
57400.249844,1000,425.210102
64560.674729,1000,430.7745
64197.685194,1000,438.676684
61975.501353,1000,444.207253
66266.875008,1000,451.951336
61547.720784,1000,457.317993
67982.588251,1000,466.550545
53755.532378,1000,472.194044
63526.824534,1000,479.411034
48966.132759,1000,485.693064
68227.979279,1000,493.752455
53368.570446,1000,498.946873
57835.527629,1000,507.084652
65000.762456,1000,512.211112
69799.789356,1000,521.036625
63811.348594,1000,527.161625
65291.084978,1000,535.773223
64082.752478,1000,540.790143
81361.909101,1000,549.925704
76128.533686,1000,555.427659
68801.144611,1000,564.183762
78687.203162,1000,569.968343
65237.039673,1000,576.949188
64866.207711,1000,581.014649
78848.794968,1000,585.220819
72361.581769,1000,592.267581
76207.275572,1000,596.427797
75531.457921,1000,602.402669
78814.441002,1000,608.301167
72527.71489,1000,616.558659
71523.478094,1000,621.929539
90183.775736,1000,629.882686
75559.99936,1000,635.351823
63764.338278,1000,643.779033
68538.792893,1000,649.715803
71588.090454,1000,657.23717
71888.239128,1000,662.921764
70297.017917,1000,671.119837
69067.583551,1000,676.3816
70677.56893,1000,684.913486
64553.730712,1000,690.705558
79686.600676,1000,698.598308
70191.573243,1000,704.360286
74211.42842,1000,712.25819
74931.692157,1000,718.021693
70268.699731,1000,726.767117
84711.064149,1000,732.663178
69307.76288,1000,740.414532
88085.958663,1000,744.584689
77037.851171,1000,754.299771
92916.576857,1000,759.539685
77992.113151,1000,768.098366
79217.246704,1000,773.847656
79888.047227,1000,782.131147
74479.925517,1000,787.035346
90374.200262,1000,796.524554
72548.560307,1000,801.246582
75797.593986,1000,810.951375
61869.913112,1000,816.466609
78196.905861,1000,824.706094
71415.012819,1000,829.643035
83879.188021,1000,837.836668
75027.854879,1000,843.112752
72962.018022,1000,851.352993
90081.980294,1000,856.505306
74068.077014,1000,865.5086
83621.778288,1000,870.993726
87621.561016,1000,875.309784
97042.252373,1000,885.095369
80582.060975,1000,890.360198
92907.501919,1000,899.771627
69510.705845,1000,906.359669
97121.529454,1000,914.104309
68289.027514,1000,920.125633
91735.818108,1000,927.317875
80899.560735,1000,932.929027
84541.852682,1000,941.538181
75418.785921,1000,946.785386
80449.464159,1000,955.768891
74285.529733,1000,960.69804
83546.296724,1000,967.262574
85587.178337,1000,971.228981
88024.270952,1000,978.0315
91252.703826,1000,982.450563
72969.449639,1000,988.992439
74914.281718,1000,993.988482
80197.200959,1000,999.643039
81831.379523,1000,1003.894817
73407.435005,1000,1010.727244
109939.115929,1000,1015.462198
78783.494379,1000,1022.086652
77748.40205,1000,1028.004573
86639.093827,1000,1035.818657
94499.775687,1000,1041.187815
83350.734998,1000,1049.742553
99830.206519,1000,1055.542908
91442.558058,1000,1063.944998
115803.087255,1000,1069.784841
94825.084255,1000,1077.551379
93717.82352,1000,1083.093628
77947.235305,1000,1092.670844
76904.880915,1000,1098.354387
82536.204412,1000,1106.471584
96907.135435,1000,1113.040076
102641.624147,1000,1121.415368
90869.529934,1000,1127.013979
90907.293017,1000,1135.144441
89408.452911,1000,1140.245494
96842.490986,1000,1149.693601
102491.637278,1000,1155.383913
95032.768125,1000,1160.583338
74892.235215,1000,1170.314514
80299.83514,1000,1176.37992
79287.458999,1000,1184.116311
94511.136395,1000,1189.835515
129191.994144,1000,1198.416459
74582.225799,1000,1203.988543
100575.581505,1000,1212.522093
97244.337935,1000,1218.056092
117860.856441,1000,1227.911456
86562.510594,1000,1233.917853
84395.539698,1000,1241.578343
108614.584414,1000,1246.798077
111587.385906,1000,1255.074201
102298.615289,1000,1260.46522
136139.555259,1000,1270.072828
84468.600365,1000,1275.621761
83103.911732,1000,1282.839137
86440.416226,1000,1288.726114
67851.711569,1000,1297.257495
110255.651798,1000,1303.105471
99145.939045,1000,1311.037038
100745.148103,1000,1315.557259
95213.781571,1000,1325.240083
117251.041953,1000,1330.736366
96744.571094,1000,1337.989789
87527.305613,1000,1342.309374
99519.846086,1000,1351.254713
83715.02788,1000,1357.201826
123602.966756,1000,1365.601145
126527.662621,1000,1370.990221
79679.246526,1000,1380.403875
129840.939544,1000,1386.306164
135540.879736,1000,1394.594238
135190.236383,1000,1399.001151
88391.754746,1000,1408.919529
136984.888815,1000,1414.34412
112696.580689,1000,1422.845916
140083.192254,1000,1429.36149
105505.750207,1000,1436.848496
137994.948026,1000,1441.531144
95666.668156,1000,1450.639073
103280.252987,1000,1456.571794
77315.947187,1000,1462.716539
125686.854264,1000,1470.655626
129463.941371,1000,1477.210499
93922.018034,1000,1484.722121
93148.47201,1000,1489.808262
136053.485819,1000,1498.998966
82023.794249,1000,1504.684473
118453.524588,1000,1512.340474
122163.064731,1000,1518.059561
141942.82978,1000,1526.143161
99309.645578,1000,1530.229697
132679.586535,1000,1538.448052
137483.00511,1000,1543.759141
129906.117255,1000,1551.797998
93274.515445,1000,1557.554371
109308.060075,1000,1566.430715
140484.498134,1000,1572.590073
110255.585682,1000,1580.893056
139803.811189,1000,1586.952044
140257.207654,1000,1594.89841
121822.743227,1000,1600.62249
94460.04761,1000,1608.464874
110635.677461,1000,1613.927586
141291.832039,1000,1622.325961
71654.509141,1000,1627.408883
141218.924518,1000,1635.899709
138472.620431,1000,1641.278574
120841.566899,1000,1649.642653
97724.830364,1000,1655.240993
127357.05401,1000,1664.587627
136751.768451,1000,1670.832327
91034.294615,1000,1679.210584
133242.249662,1000,1685.307783
83687.283217,1000,1693.51666
82214.857794,1000,1699.376066
143202.966114,1000,1708.52246
124549.830642,1000,1714.03898
85093.535931,1000,1722.883676
143207.213882,1000,1728.187959
98133.245949,1000,1736.954125
142985.964027,1000,1742.366615
75747.097395,1000,1747.97456
140218.007194,1000,1755.46445
88760.405695,1000,1760.852953
142321.962905,1000,1770.567399
145259.627167,1000,1776.259151
139148.759702,1000,1783.706063
146715.142744,1000,1789.445437
91657.731727,1000,1798.333468
107302.326861,1000,1803.953434
145741.725509,1000,1810.766957
119054.199994,1000,1816.375872
146343.872459,1000,1824.873912
102021.384488,1000,1831.475703
132586.6623,1000,1838.783253
145600.952752,1000,1843.388939
101205.752528,1000,1849.061976
145851.589896,1000,1853.348464
142112.468136,1000,1860.246019
86317.831872,1000,1864.919544
124829.904515,1000,1872.471445
98311.404146,1000,1878.708202
113499.219927,1000,1886.127967
143978.122743,1000,1892.330029
143753.570344,1000,1900.738096
145832.812645,1000,1906.321627
130200.969859,1000,1914.303495
83819.735653,1000,1920.567261
148785.904832,1000,1927.98514
146708.670052,1000,1933.926837
145020.850454,1000,1943.023632
103918.274591,1000,1948.751033
114650.679919,1000,1958.442738
144882.505617,1000,1964.082261
148845.145701,1000,1973.428821
99647.215412,1000,1980.069754
147631.17325,1000,1987.913166
140497.153944,1000,1993.72824
127648.730203,1000,2003.439556
147434.566257,1000,2010.214628
125055.094499,1000,2018.770692
130558.905409,1000,2024.056308
106455.166183,1000,2032.66146
145571.749202,1000,2038.326934
149062.820958,1000,2044.384601
148505.826359,1000,2053.042102
101360.400355,1000,2059.574095
145069.339666,1000,2067.175256
148187.563977,1000,2072.86622
145340.436497,1000,2081.042372
149358.85717,1000,2086.456775
148344.816557,1000,2095.804137
147313.576071,1000,2101.442599
146676.764145,1000,2110.517031
147292.172758,1000,2116.57707
147156.157699,1000,2124.680791
149014.314709,1000,2130.718205
148761.898945,1000,2138.646566
149045.523579,1000,2144.600589
132228.790138,1000,2152.642631
145471.414942,1000,2157.845906
148653.816623,1000,2167.034565
141791.420255,1000,2172.630623
81012.837871,1000,2181.384353
129321.56045,1000,2187.636794
149342.039697,1000,2196.24364
148627.528094,1000,2202.266168
148178.389457,1000,2210.145151
149695.639431,1000,2216.035306
146863.933567,1000,2224.423751
147389.999613,1000,2229.716517
147912.876121,1000,2237.902246
147863.410675,1000,2243.191702
145603.260914,1000,2251.937948
132548.23264,1000,2257.120816
83864.412249,1000,2265.074536
79699.53933,1000,2270.171063
148494.337338,1000,2279.388048
138214.448974,1000,2285.276936
149334.629387,1000,2292.407062
149452.380521,1000,2297.516785
149051.954639,1000,2306.130599
149525.913171,1000,2311.906112
132224.668127,1000,2320.080958
149790.51938,1000,2325.829754
149569.445387,1000,2334.527126
150511.415605,1000,2340.802226
151540.798086,1000,2345.949757
150023.872154,1000,2353.56748
149170.327031,1000,2359.019248
149559.644253,1000,2367.33998
149938.703919,1000,2373.33295
149805.955217,1000,2380.372012
149484.231899,1000,2384.97854
125083.666556,1000,2391.512762
148214.482312,1000,2395.438403
150012.69418,1000,2402.612772
149133.493598,1000,2408.41486
149449.018501,1000,2416.514972
148026.667084,1000,2421.865743
150890.564934,1000,2431.00873
106581.934334,1000,2437.336738
149619.930601,1000,2445.044314
150365.602247,1000,2450.728178
149221.218256,1000,2458.21547
148749.751383,1000,2464.23174
147335.05974,1000,2471.940871
148819.339295,1000,2478.171949
135034.357562,1000,2486.61134
149572.441237,1000,2490.889782
102587.445365,1000,2500.098102
149349.848375,1000,2505.06885
127452.646085,1000,2514.1849
149299.962654,1000,2519.533742
150355.512058,1000,2527.797508
151127.792892,1000,2532.643934
149569.021663,1000,2541.402022
150920.251132,1000,2546.953148
141100.222166,1000,2554.974379
94937.032016,1000,2559.987551
147133.340337,1000,2568.650368
148874.24473,1000,2573.822902
150104.348612,1000,2583.576507
148726.615453,1000,2588.884131
134392.235636,1000,2597.632549
152000.065855,1000,2603.005073
151560.865902,1000,2611.784226
131264.427807,1000,2617.625714
68602.011763,1000,2626.169535
150503.037045,1000,2631.189583
150671.420989,1000,2636.509622
151506.455413,1000,2645.907415
149956.295929,1000,2651.058872
127426.934896,1000,2659.634096
134071.805969,1000,2664.882577
151008.693058,1000,2672.116158
110854.479728,1000,2678.129109
147005.988724,1000,2686.032872
152172.381363,1000,2691.476717
152071.235088,1000,2700.595269
151218.061842,1000,2706.020654
151167.963918,1000,2713.579686
88180.721391,1000,2719.854661
150787.754966,1000,2727.124354
102715.270518,1000,2732.660415
91691.233323,1000,2742.513485
152140.515638,1000,2747.980464
148985.93778,1000,2754.929635
105352.695162,1000,2759.615731
124095.474349,1000,2767.458579
151321.869736,1000,2771.657593
149300.21483,1000,2780.214164
150343.011139,1000,2784.99988
149263.556443,1000,2792.315411
149631.837575,1000,2797.012392
86185.889109,1000,2802.934457
151361.311969,1000,2807.257932
146789.81023,1000,2813.807083
151055.535869,1000,2819.366847
151224.610652,1000,2828.336198
151741.772379,1000,2833.582399
152852.4272,1000,2841.967509
119638.447906,1000,2847.17133
152291.654951,1000,2855.449461
150588.397706,1000,2860.974917
152355.179846,1000,2869.741356
152814.636814,1000,2875.439918
150197.975028,1000,2883.662214
153029.614319,1000,2889.175522
151071.418005,1000,2896.687852
151930.167297,1000,2902.926589
130435.207457,1000,2911.077091
111445.762543,1000,2917.008243
151582.323241,1000,2923.079069
152512.343758,1000,2930.74632
152040.170693,1000,2935.415318
152105.943658,1000,2942.779651
91310.285881,1000,2948.682438
152697.114149,1000,2956.657215
151696.286264,1000,2960.317772
153462.066012,1000,2967.065102
149580.74611,1000,2971.546996
153247.633604,1000,2977.981846
152617.661068,1000,2982.388203
152246.322152,1000,2989.760662
106793.975444,1000,2994.845197
142122.49867,1000,3001.681586
96235.772733,1000,3006.715139
153810.236046,1000,3013.06529
151324.958265,1000,3017.91843
151837.526821,1000,3025.094491
152868.019521,1000,3029.317118
102111.268786,1000,3035.373048
95523.988147,1000,3040.351052
152941.854074,1000,3047.553861
141384.593213,1000,3052.730078
152984.230016,1000,3059.017027
147795.164023,1000,3063.842675
130810.912606,1000,3069.412751
132138.621301,1000,3073.765919
153311.926623,1000,3079.835448
153276.414815,1000,3085.218098
97288.934327,1000,3091.999326
116625.978181,1000,3097.028664
153772.464746,1000,3103.380637
151951.429487,1000,3107.612352
93443.52379,1000,3115.073495
135683.044404,1000,3119.494565
89674.065566,1000,3126.301668
118037.447621,1000,3131.68191
152607.438356,1000,3137.622965
153661.087433,1000,3142.654041
153752.045945,1000,3149.274562
