# {"t_start": 1557507735.6714146, "env_id": "HumanoidStandup-v2"} 
r,l,t
35618.404072,1000,5.96557
42994.687424,1000,9.174277
39182.961979,1000,13.430405
40213.212012,1000,16.726317
39394.827589,1000,21.210738
37251.38166,1000,24.673851
50843.614275,1000,29.934342
43916.399163,1000,33.09772
35842.810878,1000,37.442714
42790.252475,1000,40.699816
50678.247742,1000,45.809855
38749.943169,1000,49.901421
38698.551493,1000,54.17528
39080.838516,1000,58.122513
42448.406469,1000,62.826052
42679.275004,1000,66.862036
42374.59103,1000,71.784727
42578.403775,1000,75.261242
41394.648362,1000,81.032947
40929.221558,1000,84.791565
50106.201625,1000,89.202635
45498.253394,1000,93.212954
43214.340819,1000,97.49501
41445.623648,1000,100.674974
42680.501405,1000,104.841629
43795.466934,1000,108.075789
49604.180708,1000,112.271076
45856.234267,1000,115.380644
42402.577575,1000,119.598761
51695.724683,1000,122.824776
50041.42364,1000,127.031744
46849.31283,1000,130.154867
50089.57336,1000,134.241421
42000.798926,1000,137.205775
53567.452212,1000,141.493327
55464.040906,1000,144.588255
50595.485258,1000,149.121102
44537.329393,1000,152.214679
62229.239132,1000,156.406012
49778.548913,1000,159.573976
54957.023536,1000,163.712655
55919.711699,1000,166.950257
54193.026669,1000,170.038334
68399.744055,1000,174.27135
52842.012935,1000,177.401404
49128.468518,1000,181.73319
60956.627756,1000,184.969435
50768.556763,1000,189.452408
53787.507976,1000,193.557076
57941.693815,1000,197.947248
56941.972805,1000,202.110042
56058.052519,1000,206.607138
63111.248057,1000,210.205854
60067.099921,1000,214.421845
60774.066308,1000,217.92452
68937.306232,1000,222.47898
54832.064055,1000,225.869871
63126.728745,1000,230.729569
63070.755099,1000,234.023996
66664.963219,1000,238.351191
63278.177144,1000,241.436731
61531.59711,1000,245.631178
61004.978195,1000,248.882866
71927.395624,1000,253.689849
58035.05108,1000,257.095266
57988.041389,1000,261.364528
56925.376743,1000,264.650844
63949.895642,1000,269.070469
66601.981998,1000,272.601446
82458.755248,1000,276.932333
57788.187364,1000,280.119779
71647.918748,1000,286.448285
69209.096455,1000,291.25062
60114.503996,1000,297.498928
68266.351676,1000,301.63711
65705.484977,1000,305.811677
56683.443805,1000,309.004239
74792.137118,1000,313.157628
65251.282269,1000,316.342417
71979.697862,1000,320.587375
71603.837115,1000,323.821291
67914.059129,1000,327.991888
57886.161266,1000,331.208748
78812.482585,1000,335.425962
70563.479762,1000,338.516212
70888.88585,1000,341.562092
57969.401243,1000,346.150418
78081.081094,1000,349.361231
73725.650239,1000,353.45544
80296.490766,1000,356.558287
73547.293575,1000,360.980136
77458.76225,1000,364.036792
76968.427102,1000,368.248918
90983.243731,1000,371.376811
76973.063641,1000,375.819533
92879.223346,1000,379.128045
73733.424837,1000,383.363519
65347.771675,1000,386.659587
66336.693462,1000,390.81275
87577.196213,1000,393.991765
69902.917902,1000,398.15782
78864.094253,1000,401.327336
72222.866785,1000,405.644629
92021.59947,1000,408.797202
80817.090798,1000,413.043138
82553.124936,1000,416.189928
98312.551681,1000,420.484481
90708.611533,1000,423.60647
104711.12675,1000,428.029228
66758.337505,1000,431.139338
91473.745175,1000,435.449944
96528.311096,1000,438.678312
90853.982995,1000,442.989598
96606.883013,1000,446.142903
105123.283513,1000,450.438751
95339.30568,1000,453.503535
87942.202689,1000,457.900964
115146.11117,1000,460.997687
105351.008872,1000,465.369213
128604.45829,1000,468.490349
104014.697347,1000,472.83153
80853.81547,1000,475.938199
101802.056386,1000,480.261705
110676.246519,1000,483.247439
101510.729593,1000,487.679845
71980.555349,1000,490.741387
68373.624169,1000,495.052606
77711.017037,1000,498.096307
88036.732236,1000,501.199876
76240.087455,1000,505.578676
72764.538957,1000,508.687087
134769.404781,1000,513.100597
69018.991203,1000,516.176568
72103.795355,1000,520.747749
95095.222969,1000,523.744276
87148.186161,1000,528.189045
118044.856089,1000,531.299192
76960.206024,1000,535.600306
77179.273406,1000,538.751633
101472.39433,1000,543.197453
97676.517414,1000,546.435792
110217.298912,1000,550.676002
125580.693143,1000,553.854587
71668.288258,1000,558.126384
113692.728222,1000,561.332503
68933.684072,1000,565.611128
102712.294956,1000,568.765262
85112.210358,1000,573.05505
120056.597071,1000,576.265978
83570.393349,1000,580.422285
104586.066268,1000,583.408558
94780.601533,1000,587.947962
137730.446816,1000,591.197097
