# {"t_start": 1557133668.0195303, "env_id": "HumanoidStandup-v2"} 
r,l,t
36341.356872,1000,9.90851
39318.613477,1000,15.465492
37627.793071,1000,23.966293
42964.517987,1000,29.380146
39372.391568,1000,36.119806
41181.7943,1000,41.545282
38942.761124,1000,49.908192
38060.167476,1000,54.724639
45906.837679,1000,61.948957
44353.082941,1000,66.990959
40503.289927,1000,74.846807
48632.801513,1000,80.499676
44141.27558,1000,85.96522
40311.768643,1000,89.979871
43815.301575,1000,96.527653
41424.041946,1000,100.734314
37322.1324,1000,106.551221
41269.949881,1000,110.891958
43749.128772,1000,117.109656
39058.819837,1000,121.641222
42071.791846,1000,129.913112
43312.32454,1000,134.904242
40579.255978,1000,141.857279
46493.53072,1000,146.183479
42985.318539,1000,152.75912
46079.567846,1000,157.113659
43406.152673,1000,163.103429
60558.007382,1000,167.84849
52954.046827,1000,175.299927
51671.572359,1000,179.459181
42538.559692,1000,186.06675
47570.630568,1000,190.63166
55651.576441,1000,197.408333
50829.827605,1000,203.905555
53470.091785,1000,210.261133
54454.438259,1000,215.097912
50224.811618,1000,221.5946
48224.623312,1000,225.595595
50224.839665,1000,232.930939
50579.936777,1000,237.109486
49434.13531,1000,243.783283
55139.708431,1000,248.79415
50380.393274,1000,253.731749
50328.519656,1000,260.702284
56734.597229,1000,266.016525
47595.778323,1000,272.542801
66855.279783,1000,277.050015
59850.257313,1000,283.906667
63937.220399,1000,288.244902
60132.244646,1000,295.793078
53592.515234,1000,301.134701
58250.348853,1000,310.004236
60616.533782,1000,315.900199
67811.832081,1000,322.604044
65338.879727,1000,326.926109
71729.043346,1000,335.163162
60484.191538,1000,340.447763
54556.904605,1000,346.518551
67751.557957,1000,351.547132
58226.052492,1000,357.662713
53391.334033,1000,362.178784
66818.213157,1000,368.805992
73878.190978,1000,373.529774
73495.298673,1000,380.365147
64993.642551,1000,384.841571
74791.138387,1000,390.604029
65430.780206,1000,395.134526
67453.794344,1000,403.10613
78087.572242,1000,407.378938
74716.776524,1000,413.00938
61137.054513,1000,418.426157
65675.942258,1000,424.829012
78620.078405,1000,430.030434
78260.869961,1000,436.829552
83239.615971,1000,442.355432
57877.94524,1000,448.476057
70528.549316,1000,452.808678
72057.088268,1000,459.264482
82089.932306,1000,463.784686
69218.750793,1000,470.66416
82086.260132,1000,475.874729
74524.494851,1000,482.879105
71967.851467,1000,488.193057
90131.662787,1000,494.760962
75478.084216,1000,498.862003
77049.242087,1000,502.623749
75017.739504,1000,509.390855
52025.691069,1000,513.489037
67222.860469,1000,521.128308
92817.462497,1000,525.270199
67309.006555,1000,531.369996
73871.569985,1000,535.535728
91261.566871,1000,541.611421
73287.894181,1000,545.973318
88417.773085,1000,552.554658
78661.936347,1000,556.225485
83329.004125,1000,563.328571
62224.019646,1000,567.95084
94567.153308,1000,574.029202
85084.577587,1000,578.404687
88367.16496,1000,586.328506
78005.886594,1000,590.539169
70272.065165,1000,597.271989
83570.358264,1000,602.128311
79930.602787,1000,609.742849
80337.49048,1000,614.96208
82018.487302,1000,621.236022
67917.229128,1000,625.507155
64032.44974,1000,632.224587
90496.852288,1000,636.787446
72292.447718,1000,645.836138
80535.959942,1000,650.321716
75223.134833,1000,657.344368
71033.011829,1000,661.22497
93095.644333,1000,667.996875
89149.879701,1000,671.9069
69847.981854,1000,678.754506
78380.944277,1000,682.951695
87958.059054,1000,688.895489
76540.343295,1000,692.807386
86871.604159,1000,699.081133
81859.040994,1000,703.231748
97222.464585,1000,709.503038
86243.62641,1000,714.524099
84751.414866,1000,722.757528
85728.347927,1000,727.789029
68083.024858,1000,735.248747
96910.091381,1000,740.265887
87910.666301,1000,744.681825
68481.682124,1000,750.717813
87324.371226,1000,754.915743
81945.253566,1000,761.382905
88489.42438,1000,765.37559
84906.609944,1000,772.298973
81967.760069,1000,776.076749
95090.286651,1000,781.317221
86473.690615,1000,785.516102
83191.457871,1000,792.786061
79513.559267,1000,797.044836
90337.432022,1000,802.661102
69644.708844,1000,808.173442
105633.264385,1000,814.299348
87747.497328,1000,818.153888
94978.517219,1000,825.544401
100176.142186,1000,829.620873
90686.628727,1000,835.735976
76301.967064,1000,839.813346
98476.229949,1000,845.953859
74863.243281,1000,849.860017
84195.263427,1000,856.776499
99312.307368,1000,860.522937
90105.101141,1000,867.351265
91673.556419,1000,871.525424
95813.865436,1000,877.518212
85159.18407,1000,881.658442
107044.814099,1000,888.331353
81335.644587,1000,892.359371
69988.832339,1000,898.521341
86502.454792,1000,902.934847
88761.924905,1000,909.071895
92110.916681,1000,913.990587
99952.122185,1000,921.241219
101226.610652,1000,925.555391
103572.028704,1000,931.841237
93876.875468,1000,935.776186
100167.567444,1000,942.89842
101870.651946,1000,947.258872
103585.399818,1000,953.194408
93994.529207,1000,956.528083
96132.505192,1000,963.931226
96131.761427,1000,968.493668
65879.422896,1000,972.650263
100441.560185,1000,979.477743
108795.5264,1000,983.945278
98041.710626,1000,990.231579
98866.042597,1000,994.842309
102854.982669,1000,1000.316557
95613.141956,1000,1003.745399
58350.295622,1000,1011.367959
81165.646396,1000,1015.337831
112452.669347,1000,1021.767056
121675.866101,1000,1025.92362
104721.95731,1000,1032.592195
99316.70949,1000,1036.991161
113962.927391,1000,1042.822824
116941.541337,1000,1046.75755
108642.915677,1000,1053.343527
108190.254807,1000,1057.563341
97425.169692,1000,1064.444082
96597.784558,1000,1068.502157
114489.768857,1000,1075.331164
98162.611656,1000,1079.776155
119216.179207,1000,1085.323089
84243.673343,1000,1089.654162
125432.324135,1000,1096.967001
124965.835808,1000,1102.82896
115630.227109,1000,1110.553265
87892.314688,1000,1114.888587
105348.424184,1000,1122.387386
117797.045258,1000,1126.16486
132396.447744,1000,1134.041399
131286.491326,1000,1140.194795
82210.901778,1000,1146.906631
104484.415744,1000,1151.176947
121448.58403,1000,1158.437707
83499.751169,1000,1162.422544
133091.162879,1000,1169.797309
124561.738604,1000,1175.029622
124226.816774,1000,1182.028163
110173.780964,1000,1186.801494
107113.152158,1000,1193.643735
101083.134914,1000,1197.877167
98783.327987,1000,1204.604235
118345.498805,1000,1208.618712
114546.739165,1000,1212.59343
126874.404592,1000,1219.804702
109983.525782,1000,1223.843805
83726.76841,1000,1231.245464
117057.370363,1000,1235.421524
116164.676966,1000,1241.397848
86581.411603,1000,1245.831501
95333.646542,1000,1251.776025
121414.487445,1000,1256.325519
111405.288713,1000,1263.368104
128358.74108,1000,1267.466146
121061.935839,1000,1273.072519
103475.952026,1000,1277.249122
82241.178805,1000,1284.259339
103098.213806,1000,1288.844767
121772.783593,1000,1294.743372
138372.95233,1000,1298.975694
87803.64275,1000,1305.837775
99293.579692,1000,1310.140027
118107.492861,1000,1316.488767
119393.874457,1000,1320.482442
126869.899161,1000,1327.576827
101279.757095,1000,1331.86586
90736.091682,1000,1337.721761
144344.899845,1000,1343.276183
98572.691115,1000,1352.611111
97112.708639,1000,1357.789322
139627.812297,1000,1363.947959
135570.472357,1000,1368.601427
