# {"t_start": 1557443895.6132104, "env_id": "HumanoidStandup-v2"} 
r,l,t
41285.025104,1000,11.67556
38756.174655,1000,18.863041
40668.232483,1000,28.183247
40968.230997,1000,36.168229
50712.055124,1000,44.881888
37976.440747,1000,50.694822
38905.285592,1000,59.872266
45926.072728,1000,66.593361
43202.359108,1000,75.429862
38407.630552,1000,81.612922
44488.171177,1000,90.406919
37967.63273,1000,97.474578
39547.994037,1000,108.533346
48998.176115,1000,115.745491
41890.187286,1000,124.893359
40358.972998,1000,130.707688
40224.64276,1000,139.773059
44585.358877,1000,145.554486
45096.631045,1000,154.649068
44914.181371,1000,161.293221
41887.106177,1000,169.977012
50905.224408,1000,176.118964
45894.445733,1000,184.853108
43771.676091,1000,190.700238
43756.003868,1000,198.786738
52417.216354,1000,205.495826
49932.759322,1000,214.082848
43730.835118,1000,220.589741
46307.169683,1000,228.940678
49555.139698,1000,235.273204
55308.220837,1000,243.515323
54134.484313,1000,249.603836
56052.179061,1000,257.996437
49035.763787,1000,264.081272
48329.328964,1000,273.010956
55840.647822,1000,278.903882
52349.71686,1000,287.929618
53385.502111,1000,294.365247
53056.353563,1000,304.768677
55266.45486,1000,310.832998
56532.105598,1000,320.922297
55347.759425,1000,327.374383
58969.586078,1000,333.319101
66966.642409,1000,341.818619
58972.968548,1000,348.20457
68534.927038,1000,356.367416
64603.39102,1000,362.447217
54901.233331,1000,371.666344
61399.149161,1000,377.482808
56227.740132,1000,386.685053
57601.750274,1000,393.421207
66620.117778,1000,401.537241
66165.034501,1000,407.789611
60049.402341,1000,416.343788
73242.718307,1000,422.999633
58317.068224,1000,432.128419
59105.104428,1000,437.600207
66136.893507,1000,447.67304
70929.50972,1000,453.806405
73028.03999,1000,461.865854
75227.379407,1000,467.860674
59086.273657,1000,477.38645
76809.436005,1000,483.246308
78446.508769,1000,491.111316
69680.598383,1000,497.363887
65287.646845,1000,506.694634
77060.923411,1000,512.7327
75871.370909,1000,521.640264
70397.682295,1000,528.461169
68358.462579,1000,537.295889
75658.985116,1000,543.718341
80495.366827,1000,551.224005
72478.846839,1000,557.415299
72740.725437,1000,565.580665
87816.06211,1000,571.793048
